Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7342,0.7844,0.7443,0.7699
GEMMA2-2B,0.6846,0.6925,0.6866,0.7211
GEMMA2-9B,0.7424,0.7719,0.7368,0.7614
LLAMA3.1,0.7472,0.6978,0.7043,0.7464
LLAMA3.2_1B,0.4835,0.5708,0.3717,0.4052
LLAMA3.2_3B,0.6798,0.7172,0.6799,0.7045
LLAMA3,0.7093,0.7418,0.7184,0.7347
MISTRAL_NEMO,0.737,0.734,0.7346,0.7657
PHI3.5_MINI,0.6671,0.689,0.6761,0.7139
PHI3_MEDIUM,0.735,0.8089,0.7467,0.7611
QWEN2.5_14B,0.779,0.7922,0.7809,0.8066
QWEN2,0.7079,0.732,0.6933,0.7217
