Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5709,0.0992,0.1642,0.1171
LLAMA3.1,0.5636,0.4374,0.4637,0.7007
LLAMA3.2_1B,0.3933,0.3412,0.3286,0.5363
LLAMA3.2_3B,0.5366,0.4175,0.4416,0.6631
MISTRAL_NEMO,0.7655,0.7366,0.7343,0.7609
PHI3.5_MINI,0.4547,0.4723,0.4575,0.6206
PHI3_MEDIUM,0.4385,0.4421,0.438,0.6556
GEMMA2-2B,0.6233,0.6943,0.6378,0.648
GEMMA2-9B,0.793,0.6982,0.7093,0.7431
GEMMA2-27B,0.7714,0.8007,0.7786,0.798
QWEN2,0.7309,0.7399,0.7267,0.7566
QWEN2.5_14B,0.7249,0.7758,0.7422,0.7571
