Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5579,0.1046,0.1721,0.1214
LLAMA3.1,0.5551,0.4386,0.4656,0.6932
LLAMA3.2_1B,0.3603,0.3348,0.3242,0.5293
LLAMA3.2_3B,0.5297,0.4122,0.4386,0.6497
MISTRAL_NEMO,0.7306,0.7253,0.7169,0.7421
PHI3.5_MINI,0.4486,0.4671,0.4519,0.6174
PHI3_MEDIUM,0.4294,0.4354,0.429,0.6325
GEMMA2-2B,0.6125,0.6833,0.6263,0.6362
GEMMA2-9B,0.783,0.7019,0.7071,0.7405
GEMMA2-27B,0.7647,0.7943,0.7719,0.7926
QWEN2,0.7247,0.7305,0.7193,0.7496
QWEN2.5_14B,0.7264,0.7782,0.7438,0.7587
