Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5552,0.0984,0.165,0.1193
LLAMA3.1,0.5399,0.4414,0.4692,0.684
LLAMA3.2_1B,0.3456,0.312,0.3123,0.4772
LLAMA3.2_3B,0.4997,0.397,0.4246,0.6163
MISTRAL_NEMO,0.6672,0.6737,0.6625,0.6959
PHI3.5_MINI,0.4547,0.47,0.4559,0.6136
PHI3_MEDIUM,0.4172,0.4229,0.4154,0.5991
GEMMA2-2B,0.4447,0.4934,0.4535,0.6169
GEMMA2-9B,0.7733,0.6834,0.6915,0.7297
GEMMA2-27B,0.752,0.7831,0.7594,0.7813
QWEN2,0.7007,0.7133,0.6989,0.7308
QWEN2.5_14B,0.722,0.7727,0.7391,0.7539
