Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7263,0.7788,0.7424,0.768
GEMMA2-2B,0.6509,0.6766,0.653,0.6767
GEMMA2-9B,0.7186,0.7555,0.7107,0.734
LLAMA3.1,0.6807,0.638,0.6486,0.7283
LLAMA3.2_1B,0.4515,0.473,0.3777,0.3908
LLAMA3.2_3B,0.672,0.6387,0.6495,0.7053
LLAMA3,0.6354,0.7183,0.607,0.6142
MISTRAL_NEMO,0.7462,0.7563,0.7501,0.7689
PHI3.5_MINI,0.666,0.6085,0.6276,0.7061
PHI3_MEDIUM,0.6946,0.499,0.4978,0.6454
QWEN2.5_14B,0.7531,0.8082,0.7696,0.7894
QWEN2,0.6868,0.7429,0.676,0.6932
