Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7334,0.781,0.744,0.7706
GEMMA2-2B,0.677,0.6851,0.6795,0.7113
GEMMA2-9B,0.7394,0.7724,0.7339,0.7559
LLAMA3.1,0.7346,0.6846,0.6928,0.7355
LLAMA3.2_1B,0.4352,0.5173,0.357,0.3794
LLAMA3.2_3B,0.6721,0.7092,0.6717,0.698
LLAMA3,0.7124,0.7475,0.7208,0.7333
MISTRAL_NEMO,0.7177,0.7175,0.7156,0.7446
PHI3.5_MINI,0.6642,0.6891,0.674,0.7106
PHI3_MEDIUM,0.6982,0.7543,0.7101,0.7286
QWEN2.5_14B,0.7767,0.7929,0.7798,0.8033
QWEN2,0.6983,0.7244,0.687,0.7152
