Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6588,0.715,0.6435,0.6529
GEMMA2-2B,0.549,0.6278,0.4477,0.4637
GEMMA2-9B,0.663,0.7036,0.6563,0.6744
LLAMA3.1,0.6108,0.6342,0.6206,0.6466
LLAMA3.2_1B,0.4064,0.41,0.3002,0.2935
LLAMA3.2_3B,0.5889,0.655,0.5941,0.6067
LLAMA3,0.602,0.6785,0.5899,0.5911
MISTRAL_NEMO,0.7078,0.7301,0.7177,0.7311
PHI3.5_MINI,0.6497,0.6289,0.6327,0.6853
PHI3_MEDIUM,0.4988,0.6362,0.5577,0.7477
QWEN2.5_14B,0.6953,0.7781,0.7009,0.7136
QWEN2,0.6914,0.7328,0.6901,0.7157
