Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7217,0.7758,0.7378,0.7631
GEMMA2-2B,0.6408,0.6627,0.6424,0.6708
GEMMA2-9B,0.7199,0.7617,0.7167,0.7398
LLAMA3.1,0.6218,0.6064,0.6108,0.6764
LLAMA3.2_1B,0.3354,0.3518,0.3061,0.3154
LLAMA3.2_3B,0.6432,0.6207,0.6281,0.6845
LLAMA3,0.6387,0.721,0.6128,0.6201
MISTRAL_NEMO,0.6597,0.6878,0.6704,0.6888
PHI3.5_MINI,0.6565,0.6038,0.6213,0.6991
PHI3_MEDIUM,0.6553,0.5231,0.5408,0.6585
QWEN2.5_14B,0.752,0.8075,0.7683,0.7877
QWEN2,0.6736,0.7263,0.6598,0.6771
