Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6549,0.7111,0.6458,0.6588
GEMMA2-2B,0.5237,0.6087,0.4328,0.4613
GEMMA2-9B,0.6752,0.7129,0.6751,0.6943
LLAMA3.1,0.5785,0.6084,0.5893,0.6142
LLAMA3.2_1B,0.366,0.3913,0.3703,0.3932
LLAMA3.2_3B,0.5735,0.618,0.5792,0.6013
LLAMA3,0.5862,0.6504,0.559,0.5583
MISTRAL_NEMO,0.7479,0.7,0.7188,0.7457
PHI3.5_MINI,0.6272,0.6297,0.6253,0.6691
PHI3_MEDIUM,0.6566,0.6299,0.5691,0.7228
QWEN2.5_14B,0.6957,0.7766,0.6975,0.7109
QWEN2,0.6931,0.7173,0.6874,0.719
