Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6566,0.7139,0.6488,0.662
GEMMA2-2B,0.5289,0.6131,0.4331,0.4629
GEMMA2-9B,0.6817,0.7158,0.679,0.6991
LLAMA3.1,0.5977,0.6194,0.6067,0.6319
LLAMA3.2_1B,0.3682,0.3989,0.373,0.3964
LLAMA3.2_3B,0.581,0.6268,0.5863,0.6077
LLAMA3,0.5943,0.6554,0.5611,0.5578
MISTRAL_NEMO,0.7878,0.7297,0.752,0.7765
PHI3.5_MINI,0.6318,0.6358,0.6305,0.6714
PHI3_MEDIUM,0.5214,0.6256,0.5682,0.7732
QWEN2.5_14B,0.697,0.7773,0.6994,0.7131
QWEN2,0.6945,0.7178,0.6869,0.7184
