Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6807,0.7131,0.6779,0.7007
GEMMA2-2B,0.5182,0.6138,0.4188,0.4406
GEMMA2-9B,0.6947,0.7407,0.7041,0.7222
LLAMA3.1,0.589,0.6682,0.597,0.6027
LLAMA3.2_1B,0.3961,0.4268,0.3705,0.3817
LLAMA3.2_3B,0.5871,0.6124,0.5968,0.6185
LLAMA3,0.6205,0.7053,0.6113,0.6185
MISTRAL_NEMO,0.6925,0.6885,0.6903,0.7163
PHI3.5_MINI,0.6199,0.6679,0.5974,0.6062
PHI3_MEDIUM,0.4616,0.6109,0.522,0.6857
QWEN2.5_14B,0.6857,0.7682,0.6998,0.7093
QWEN2,0.683,0.7211,0.6904,0.7184
