Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6913,0.6863,0.6862,0.7222
GEMMA2-2B,0.5616,0.59,0.4701,0.482
GEMMA2-9B,0.7051,0.6734,0.6854,0.7066
LLAMA3.1,0.7224,0.7121,0.7151,0.7362
LLAMA3.2_1B,0.4116,0.348,0.3038,0.5148
LLAMA3.2_3B,0.5751,0.523,0.5302,0.5991
LLAMA3,0.6736,0.7311,0.6914,0.7034
MISTRAL_NEMO,0.7732,0.6974,0.7183,0.7582
PHI3.5_MINI,0.5803,0.6674,0.5674,0.5737
PHI3_MEDIUM,0.6414,0.6501,0.6416,0.6979
QWEN2.5_14B,0.7184,0.7649,0.736,0.7485
QWEN2,0.7303,0.7493,0.7289,0.7581
