Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6992,0.7276,0.7052,0.7421
GEMMA2-2B,0.6442,0.7024,0.6565,0.6792
GEMMA2-9B,0.7346,0.7695,0.7403,0.7663
LLAMA3.1,0.6712,0.733,0.6591,0.6695
LLAMA3.2_1B,0.4721,0.5606,0.3914,0.4043
LLAMA3.2_3B,0.6012,0.6571,0.5703,0.5712
LLAMA3,0.6997,0.7778,0.6999,0.7011
MISTRAL_NEMO,0.7412,0.7738,0.7523,0.7808
PHI3.5_MINI,0.6331,0.6748,0.5958,0.5986
PHI3_MEDIUM,0.6649,0.713,0.6015,0.5997
QWEN2.5_14B,0.7735,0.7873,0.7777,0.8006
QWEN2,0.7011,0.7223,0.6932,0.7238
