Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.681,0.6755,0.6757,0.7147
GEMMA2-2B,0.5182,0.5737,0.4583,0.4702
GEMMA2-9B,0.6997,0.6627,0.6759,0.6969
LLAMA3.1,0.6809,0.6812,0.6792,0.7012
LLAMA3.2_1B,0.3967,0.3624,0.3563,0.4909
LLAMA3.2_3B,0.5362,0.5029,0.5073,0.5739
LLAMA3,0.6309,0.691,0.649,0.6582
MISTRAL_NEMO,0.6877,0.6553,0.6582,0.7034
PHI3.5_MINI,0.5783,0.6623,0.5674,0.5737
PHI3_MEDIUM,0.5447,0.563,0.5479,0.5905
QWEN2.5_14B,0.7179,0.765,0.7358,0.7469
QWEN2,0.7045,0.7276,0.7047,0.7344
