Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6562,0.6861,0.6532,0.6771
GEMMA2-2B,0.5291,0.6144,0.4173,0.4492
GEMMA2-9B,0.7053,0.7301,0.707,0.7319
LLAMA3.1,0.604,0.6751,0.6142,0.6239
LLAMA3.2_1B,0.3776,0.3874,0.3746,0.4521
LLAMA3.2_3B,0.5536,0.593,0.5627,0.5846
LLAMA3,0.5745,0.6605,0.5503,0.5545
MISTRAL_NEMO,0.7285,0.6925,0.7068,0.7371
PHI3.5_MINI,0.601,0.6598,0.577,0.5812
PHI3_MEDIUM,0.4629,0.6029,0.5179,0.6952
QWEN2.5_14B,0.6888,0.7682,0.7028,0.7147
QWEN2,0.6793,0.7245,0.6876,0.7118
