Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7485,0.7918,0.7616,0.7872
GEMMA2-2B,0.6795,0.6889,0.6826,0.7152
GEMMA2-9B,0.7479,0.7859,0.7497,0.7715
LLAMA3.1,0.747,0.7037,0.7064,0.7453
LLAMA3.2_1B,0.5044,0.5603,0.4018,0.4129
LLAMA3.2_3B,0.655,0.7153,0.6526,0.6685
LLAMA3,0.7249,0.787,0.7174,0.7288
MISTRAL_NEMO,0.7587,0.7525,0.7527,0.7786
PHI3.5_MINI,0.6509,0.701,0.6647,0.6902
PHI3_MEDIUM,0.6968,0.7731,0.6979,0.7113
QWEN2.5_14B,0.7834,0.7865,0.7825,0.8066
QWEN2,0.7019,0.7155,0.6795,0.7104
