Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7471,0.7941,0.7596,0.7844
GEMMA2-2B,0.6616,0.6676,0.6631,0.7034
GEMMA2-9B,0.7443,0.7807,0.7458,0.7684
LLAMA3.1,0.7219,0.6788,0.6797,0.7206
LLAMA3.2_1B,0.4808,0.5354,0.3994,0.4062
LLAMA3.2_3B,0.6411,0.6971,0.6352,0.6513
LLAMA3,0.7294,0.782,0.7229,0.7232
MISTRAL_NEMO,0.7362,0.7344,0.7348,0.7598
PHI3.5_MINI,0.6491,0.6983,0.6629,0.6882
PHI3_MEDIUM,0.6767,0.7367,0.6833,0.6982
QWEN2.5_14B,0.7839,0.7865,0.7831,0.8071
QWEN2,0.7012,0.7172,0.6824,0.7131
