Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6975,0.7244,0.703,0.7405
GEMMA2-2B,0.6407,0.6987,0.6524,0.6754
GEMMA2-9B,0.7395,0.7759,0.7465,0.7722
LLAMA3.1,0.6756,0.7347,0.6611,0.6711
LLAMA3.2_1B,0.442,0.5168,0.3703,0.3778
LLAMA3.2_3B,0.5936,0.6513,0.5647,0.5658
LLAMA3,0.7034,0.7724,0.6931,0.6935
MISTRAL_NEMO,0.7382,0.7702,0.7495,0.7775
PHI3.5_MINI,0.6337,0.6797,0.5986,0.6018
PHI3_MEDIUM,0.6635,0.7058,0.6002,0.5977
QWEN2.5_14B,0.7737,0.7855,0.7767,0.7996
QWEN2,0.6934,0.7153,0.6856,0.7172
