Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6614,0.6883,0.6568,0.6814
GEMMA2-2B,0.5384,0.6199,0.4122,0.4487
GEMMA2-9B,0.7153,0.7387,0.7177,0.7421
LLAMA3.1,0.6531,0.7308,0.6676,0.6765
LLAMA3.2_1B,0.4485,0.4124,0.3706,0.5398
LLAMA3.2_3B,0.5925,0.6312,0.6017,0.6185
LLAMA3,0.6022,0.6876,0.5738,0.5787
MISTRAL_NEMO,0.8112,0.7359,0.7625,0.791
PHI3.5_MINI,0.6013,0.6631,0.5818,0.587
PHI3_MEDIUM,0.5064,0.6138,0.5543,0.7524
QWEN2.5_14B,0.6952,0.7735,0.7089,0.7217
QWEN2,0.6992,0.7399,0.7043,0.7303
