Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5106,0.3756,0.4037,0.439
LLAMA3.1,0.7294,0.6657,0.6891,0.7308
LLAMA3.2_1B,0.3403,0.3431,0.3357,0.4965
LLAMA3.2_3B,0.5094,0.3552,0.3486,0.5986
MISTRAL_NEMO,0.7737,0.7125,0.7221,0.7582
PHI3.5_MINI,0.4612,0.5121,0.4634,0.6276
PHI3_MEDIUM,0.4604,0.4687,0.4568,0.6706
GEMMA2-2B,0.5617,0.6414,0.5325,0.532
GEMMA2-9B,0.696,0.7714,0.7136,0.7254
GEMMA2-27B,0.7632,0.7734,0.7653,0.7904
QWEN2,0.7315,0.7572,0.7242,0.7501
QWEN2.5_14B,0.7455,0.7619,0.7523,0.7706
