Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5142,0.3775,0.4064,0.4438
LLAMA3.1,0.7261,0.6614,0.6849,0.7297
LLAMA3.2_1B,0.3394,0.3426,0.335,0.4933
LLAMA3.2_3B,0.51,0.36,0.3545,0.6013
MISTRAL_NEMO,0.7728,0.7097,0.7198,0.7582
PHI3.5_MINI,0.4618,0.5133,0.4643,0.6287
PHI3_MEDIUM,0.4642,0.471,0.4579,0.6668
GEMMA2-2B,0.5627,0.6432,0.5332,0.533
GEMMA2-9B,0.6974,0.7717,0.7148,0.7276
GEMMA2-27B,0.7647,0.7744,0.7666,0.791
QWEN2,0.7278,0.7508,0.7188,0.7458
QWEN2.5_14B,0.7436,0.7605,0.7506,0.7695
