Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6989,0.7087,0.6961,0.7243
GEMMA2-2B,0.5574,0.628,0.4785,0.4949
GEMMA2-9B,0.7061,0.704,0.7041,0.7145
LLAMA3.1,0.744,0.7103,0.7246,0.7488
LLAMA3.2_1B,0.4397,0.4548,0.4446,0.4734
LLAMA3.2_3B,0.6123,0.5564,0.5689,0.6276
LLAMA3,0.6819,0.7394,0.6958,0.7114
MISTRAL_NEMO,0.7529,0.7295,0.7255,0.756
PHI3.5_MINI,0.5925,0.6717,0.5873,0.5959
PHI3_MEDIUM,0.6415,0.6538,0.6449,0.7018
QWEN2.5_14B,0.7264,0.7764,0.7441,0.7496
QWEN2,0.7276,0.7454,0.7249,0.7555
