Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7015,0.7284,0.7077,0.7458
GEMMA2-2B,0.644,0.6998,0.6512,0.6733
GEMMA2-9B,0.7307,0.768,0.7361,0.763
LLAMA3.1,0.6514,0.698,0.6319,0.6428
LLAMA3.2_1B,0.4657,0.524,0.3574,0.3704
LLAMA3.2_3B,0.5801,0.6229,0.5441,0.5441
LLAMA3,0.7071,0.7592,0.7073,0.6986
MISTRAL_NEMO,0.7001,0.7548,0.7162,0.7396
PHI3.5_MINI,0.6315,0.6745,0.5907,0.5925
PHI3_MEDIUM,0.6595,0.7016,0.5949,0.5925
QWEN2.5_14B,0.7642,0.7691,0.7658,0.7963
QWEN2,0.6937,0.7181,0.6857,0.7157
