Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7301,0.7778,0.7433,0.7694
GEMMA2-2B,0.612,0.6578,0.6125,0.6282
GEMMA2-9B,0.7314,0.7804,0.7319,0.7534
LLAMA3.1,0.5852,0.6491,0.592,0.6061
LLAMA3.2_1B,0.2982,0.3127,0.2766,0.2941
LLAMA3.2_3B,0.6234,0.6482,0.6328,0.6624
LLAMA3,0.6181,0.6789,0.5548,0.5594
MISTRAL_NEMO,0.6875,0.696,0.6868,0.7089
PHI3.5_MINI,0.6693,0.689,0.6728,0.7063
PHI3_MEDIUM,0.6725,0.5188,0.5368,0.669
QWEN2.5_14B,0.7447,0.7961,0.762,0.7813
QWEN2,0.6647,0.7267,0.6609,0.6776
