Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6861,0.6827,0.6818,0.7179
GEMMA2-2B,0.5652,0.5914,0.4719,0.4847
GEMMA2-9B,0.7081,0.6761,0.6878,0.7077
LLAMA3.1,0.7297,0.7196,0.723,0.7405
LLAMA3.2_1B,0.43,0.3523,0.3038,0.5234
LLAMA3.2_3B,0.5796,0.5273,0.5343,0.6018
LLAMA3,0.6712,0.7286,0.6888,0.7018
MISTRAL_NEMO,0.7735,0.697,0.7165,0.756
PHI3.5_MINI,0.5806,0.6669,0.5691,0.5755
PHI3_MEDIUM,0.6415,0.6538,0.6449,0.7018
QWEN2.5_14B,0.7207,0.7672,0.7383,0.7507
QWEN2,0.7297,0.7485,0.7285,0.7571
