Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7101,0.7382,0.7164,0.7523
GEMMA2-2B,0.6576,0.7205,0.6669,0.6857
GEMMA2-9B,0.7391,0.7767,0.7453,0.7726
LLAMA3.1,0.6707,0.7187,0.6526,0.6647
LLAMA3.2_1B,0.4691,0.5394,0.3539,0.3708
LLAMA3.2_3B,0.6022,0.6422,0.5614,0.5615
LLAMA3,0.7093,0.7697,0.7204,0.7273
MISTRAL_NEMO,0.7117,0.7671,0.7274,0.7501
PHI3.5_MINI,0.6304,0.672,0.5892,0.5905
PHI3_MEDIUM,0.66,0.7049,0.595,0.5929
QWEN2.5_14B,0.7604,0.7678,0.763,0.7942
QWEN2,0.7014,0.7225,0.6923,0.7227
