Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6226,0.7,0.6396,0.64
LLAMA3.1,0.591,0.6585,0.6055,0.6147
LLAMA3.2_1B,0.2409,0.2048,0.2175,0.3509
LLAMA3.2_3B,0.6187,0.6375,0.6239,0.655
MISTRAL_NEMO,0.8163,0.7214,0.7523,0.7845
PHI3.5_MINI,0.5709,0.6425,0.533,0.5325
PHI3_MEDIUM,0.1915,0.0149,0.0276,0.0193
GEMMA2-2B,0.3865,0.451,0.3492,0.4745
GEMMA2-9B,0.7165,0.7501,0.7219,0.7431
GEMMA2-27B,0.698,0.7415,0.7047,0.7254
QWEN2,0.6648,0.7272,0.6617,0.6803
QWEN2.5_14B,0.6939,0.7686,0.7082,0.7217
