Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6949,0.7242,0.7008,0.7378
GEMMA2-2B,0.6359,0.6941,0.6464,0.6695
GEMMA2-9B,0.7298,0.768,0.7371,0.763
LLAMA3.1,0.6499,0.7041,0.6351,0.6448
LLAMA3.2_1B,0.4182,0.4782,0.3553,0.3615
LLAMA3.2_3B,0.5809,0.6387,0.5528,0.5535
LLAMA3,0.6401,0.7223,0.6293,0.623
MISTRAL_NEMO,0.7184,0.7605,0.7325,0.7587
PHI3.5_MINI,0.6309,0.6725,0.5934,0.596
PHI3_MEDIUM,0.6507,0.6923,0.5923,0.5902
QWEN2.5_14B,0.776,0.7851,0.7786,0.8023
QWEN2,0.6822,0.6987,0.6716,0.7039
