Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6146,0.6927,0.6311,0.6308
LLAMA3.1,0.5882,0.6585,0.6028,0.6104
LLAMA3.2_1B,0.256,0.2153,0.2309,0.3541
LLAMA3.2_3B,0.622,0.6413,0.6273,0.6593
MISTRAL_NEMO,0.7977,0.7097,0.7383,0.7743
PHI3.5_MINI,0.5717,0.6434,0.5338,0.533
PHI3_MEDIUM,0.2028,0.0178,0.0327,0.0231
GEMMA2-2B,0.3864,0.4522,0.3494,0.4734
GEMMA2-9B,0.7156,0.7488,0.7203,0.7421
GEMMA2-27B,0.6976,0.7408,0.7042,0.7254
QWEN2,0.6658,0.7281,0.6623,0.6808
QWEN2.5_14B,0.6935,0.7679,0.7088,0.7217
