Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7001,0.7113,0.6982,0.7254
GEMMA2-2B,0.5561,0.6277,0.4783,0.4949
GEMMA2-9B,0.7088,0.7106,0.7089,0.7172
LLAMA3.1,0.7421,0.7102,0.7239,0.7468
LLAMA3.2_1B,0.4498,0.4633,0.4544,0.4847
LLAMA3.2_3B,0.6106,0.5584,0.5715,0.6275
LLAMA3,0.6811,0.7408,0.6956,0.7109
MISTRAL_NEMO,0.7501,0.7277,0.7226,0.755
PHI3.5_MINI,0.5865,0.6649,0.5815,0.5898
PHI3_MEDIUM,0.6205,0.635,0.6237,0.6814
QWEN2.5_14B,0.725,0.7738,0.7424,0.7485
QWEN2,0.7237,0.7402,0.7206,0.7512
