Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6917,0.74,0.6929,0.7157
GEMMA2-2B,0.6129,0.6922,0.5984,0.6088
GEMMA2-9B,0.7029,0.7515,0.6934,0.7108
LLAMA3.1,0.6148,0.7004,0.5982,0.611
LLAMA3.2_1B,0.3323,0.3941,0.2476,0.2737
LLAMA3.2_3B,0.5968,0.6621,0.5604,0.5645
LLAMA3,0.6183,0.686,0.5494,0.554
MISTRAL_NEMO,0.7451,0.7614,0.7497,0.7643
PHI3.5_MINI,0.6299,0.67,0.6142,0.635
PHI3_MEDIUM,0.6104,0.5998,0.5985,0.7211
QWEN2.5_14B,0.7455,0.8029,0.7639,0.7834
QWEN2,0.6702,0.711,0.668,0.6926
