Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6826,0.7119,0.6808,0.7045
GEMMA2-2B,0.5329,0.6239,0.4229,0.4471
GEMMA2-9B,0.7068,0.7464,0.7151,0.7324
LLAMA3.1,0.6555,0.7386,0.6656,0.6749
LLAMA3.2_1B,0.4289,0.4738,0.3604,0.3691
LLAMA3.2_3B,0.6089,0.6407,0.6208,0.6432
LLAMA3,0.6255,0.7151,0.6168,0.6228
MISTRAL_NEMO,0.7911,0.7605,0.7739,0.791
PHI3.5_MINI,0.6202,0.6708,0.6039,0.6134
PHI3_MEDIUM,0.6745,0.6401,0.59,0.7576
QWEN2.5_14B,0.6855,0.7684,0.6991,0.7088
QWEN2,0.6989,0.7343,0.7033,0.7319
