Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6887,0.7237,0.6917,0.7211
GEMMA2-2B,0.5949,0.6714,0.5772,0.5889
GEMMA2-9B,0.7058,0.7548,0.6938,0.7104
LLAMA3.1,0.6312,0.7175,0.6197,0.6276
LLAMA3.2_1B,0.5423,0.4025,0.2618,0.3427
LLAMA3.2_3B,0.5767,0.6372,0.5722,0.5922
LLAMA3,0.6217,0.7023,0.5799,0.59
MISTRAL_NEMO,0.7717,0.7616,0.7658,0.7904
PHI3.5_MINI,0.6224,0.6655,0.5979,0.6098
PHI3_MEDIUM,0.6463,0.6135,0.6238,0.7623
QWEN2.5_14B,0.7414,0.7994,0.7596,0.7781
QWEN2,0.6804,0.7125,0.6779,0.7055
