Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7369,0.782,0.7501,0.7765
GEMMA2-2B,0.6129,0.6568,0.613,0.6308
GEMMA2-9B,0.7252,0.7754,0.7268,0.7474
LLAMA3.1,0.638,0.6993,0.6376,0.6518
LLAMA3.2_1B,0.4167,0.48,0.3623,0.36
LLAMA3.2_3B,0.65,0.6708,0.6575,0.6904
LLAMA3,0.6199,0.6792,0.5541,0.5588
MISTRAL_NEMO,0.7393,0.7342,0.7326,0.7517
PHI3.5_MINI,0.6729,0.692,0.6758,0.7083
PHI3_MEDIUM,0.6994,0.4776,0.4752,0.631
QWEN2.5_14B,0.7509,0.8009,0.768,0.7872
QWEN2,0.6698,0.7307,0.6667,0.684
