Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5936,0.6719,0.6065,0.6083
LLAMA3.1,0.5584,0.6287,0.5673,0.5766
LLAMA3.2_1B,0.2637,0.2336,0.2329,0.3138
LLAMA3.2_3B,0.6016,0.6183,0.6042,0.64
MISTRAL_NEMO,0.5203,0.4837,0.4978,0.6975
PHI3.5_MINI,0.5728,0.6448,0.5345,0.5347
PHI3_MEDIUM,0.1971,0.0169,0.0312,0.022
GEMMA2-2B,0.3935,0.4576,0.3594,0.4852
GEMMA2-9B,0.5302,0.5599,0.536,0.7324
GEMMA2-27B,0.6928,0.7384,0.6996,0.7206
QWEN2,0.6577,0.7198,0.6539,0.6717
QWEN2.5_14B,0.6899,0.7653,0.7039,0.7168
