Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7067,0.7333,0.713,0.7507
GEMMA2-2B,0.6543,0.7139,0.6642,0.6846
GEMMA2-9B,0.7296,0.7681,0.7357,0.7629
LLAMA3.1,0.6781,0.7288,0.6627,0.676
LLAMA3.2_1B,0.4851,0.5546,0.359,0.3785
LLAMA3.2_3B,0.6078,0.6479,0.5677,0.568
LLAMA3,0.7318,0.7974,0.7344,0.7368
MISTRAL_NEMO,0.724,0.7771,0.739,0.7636
PHI3.5_MINI,0.6354,0.6775,0.5942,0.5959
PHI3_MEDIUM,0.6682,0.7126,0.6012,0.5988
QWEN2.5_14B,0.7592,0.7654,0.7614,0.7931
QWEN2,0.7021,0.7222,0.6939,0.7254
