Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6853,0.7212,0.6876,0.7157
GEMMA2-2B,0.5961,0.6755,0.578,0.5889
GEMMA2-9B,0.6972,0.7442,0.6856,0.7023
LLAMA3.1,0.5873,0.6654,0.574,0.5805
LLAMA3.2_1B,0.3648,0.3904,0.2621,0.2968
LLAMA3.2_3B,0.5456,0.6027,0.5436,0.5634
LLAMA3,0.6215,0.7018,0.577,0.5873
MISTRAL_NEMO,0.7235,0.7313,0.7268,0.7578
PHI3.5_MINI,0.6234,0.6708,0.5991,0.6096
PHI3_MEDIUM,0.5298,0.5148,0.5176,0.6272
QWEN2.5_14B,0.7415,0.7983,0.7597,0.7781
QWEN2,0.676,0.7102,0.6744,0.7012
