Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6627,0.6909,0.6583,0.6824
GEMMA2-2B,0.5361,0.6191,0.4107,0.4481
GEMMA2-9B,0.7192,0.7434,0.7213,0.7453
LLAMA3.1,0.6553,0.7327,0.6694,0.6792
LLAMA3.2_1B,0.4374,0.4024,0.3637,0.5299
LLAMA3.2_3B,0.5928,0.632,0.6029,0.6196
LLAMA3,0.5981,0.6817,0.5697,0.575
MISTRAL_NEMO,0.809,0.7329,0.7594,0.7845
PHI3.5_MINI,0.6035,0.666,0.5842,0.5894
PHI3_MEDIUM,0.8263,0.6467,0.6,0.7404
QWEN2.5_14B,0.6925,0.7702,0.706,0.719
QWEN2,0.6988,0.7417,0.7054,0.7308
