Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.6142,0.6916,0.6302,0.6325
LLAMA3.1,0.5796,0.6526,0.5921,0.5997
LLAMA3.2_1B,0.2607,0.2202,0.2311,0.3272
LLAMA3.2_3B,0.6175,0.6367,0.6233,0.655
MISTRAL_NEMO,0.7817,0.7026,0.7303,0.7652
PHI3.5_MINI,0.567,0.6382,0.5297,0.5293
PHI3_MEDIUM,0.1667,0.0116,0.0216,0.015
GEMMA2-2B,0.3875,0.4499,0.3487,0.4734
GEMMA2-9B,0.7112,0.7467,0.717,0.7383
GEMMA2-27B,0.6931,0.7383,0.7005,0.7211
QWEN2,0.6641,0.7265,0.6593,0.6771
QWEN2.5_14B,0.6951,0.7691,0.7101,0.7233
