Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6613,0.691,0.6577,0.6819
GEMMA2-2B,0.5026,0.6094,0.4044,0.4406
GEMMA2-9B,0.7029,0.7258,0.7057,0.7303
LLAMA3.1,0.6269,0.7039,0.6388,0.647
LLAMA3.2_1B,0.3988,0.3857,0.359,0.5019
LLAMA3.2_3B,0.5736,0.6162,0.5833,0.5997
LLAMA3,0.597,0.6862,0.5729,0.5766
MISTRAL_NEMO,0.7933,0.7265,0.7508,0.7759
PHI3.5_MINI,0.6027,0.6625,0.5797,0.5841
PHI3_MEDIUM,0.8056,0.6527,0.5671,0.7129
QWEN2.5_14B,0.6898,0.7684,0.7033,0.7157
QWEN2,0.6839,0.7264,0.6906,0.7147
