Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5112,0.3687,0.4002,0.4326
LLAMA3.1,0.5334,0.4943,0.5094,0.7147
LLAMA3.2_1B,0.3391,0.3439,0.3358,0.4933
LLAMA3.2_3B,0.5027,0.3644,0.3595,0.5991
MISTRAL_NEMO,0.5755,0.5353,0.5433,0.7609
PHI3.5_MINI,0.4611,0.5106,0.4629,0.6271
PHI3_MEDIUM,0.4502,0.4586,0.4471,0.6464
GEMMA2-2B,0.5638,0.6425,0.5358,0.5363
GEMMA2-9B,0.6919,0.7703,0.7096,0.7195
GEMMA2-27B,0.7623,0.7754,0.7657,0.7899
QWEN2,0.7211,0.7445,0.7129,0.7405
QWEN2.5_14B,0.7423,0.7564,0.7481,0.7673
