Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6946,0.709,0.6944,0.7211
GEMMA2-2B,0.5586,0.6313,0.4844,0.4997
GEMMA2-9B,0.7047,0.7058,0.7046,0.7177
LLAMA3.1,0.734,0.7089,0.72,0.7395
LLAMA3.2_1B,0.4421,0.4571,0.4468,0.4777
LLAMA3.2_3B,0.6064,0.5554,0.5671,0.6248
LLAMA3,0.6709,0.7297,0.6856,0.7007
MISTRAL_NEMO,0.7404,0.7179,0.7133,0.7462
PHI3.5_MINI,0.5901,0.6691,0.5854,0.5946
PHI3_MEDIUM,0.5947,0.6131,0.599,0.646
QWEN2.5_14B,0.7271,0.7768,0.7448,0.7501
QWEN2,0.7175,0.7305,0.712,0.7442
