Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6937,0.7414,0.6946,0.7179
GEMMA2-2B,0.61,0.6867,0.596,0.6061
GEMMA2-9B,0.7033,0.7547,0.6936,0.7097
LLAMA3.1,0.6406,0.7219,0.634,0.6443
LLAMA3.2_1B,0.3496,0.3908,0.2414,0.2747
LLAMA3.2_3B,0.5926,0.6634,0.5588,0.5634
LLAMA3,0.6265,0.6912,0.5563,0.561
MISTRAL_NEMO,0.7665,0.7864,0.7731,0.7834
PHI3.5_MINI,0.6343,0.6744,0.6197,0.6388
PHI3_MEDIUM,0.6609,0.6206,0.6333,0.7879
QWEN2.5_14B,0.7468,0.805,0.7655,0.7845
QWEN2,0.6747,0.7172,0.6743,0.698
