Model,Precision,Recall,F1-Score,Accuracy
LLAMA3,0.5058,0.3535,0.3911,0.4164
LLAMA3.1,0.5124,0.4776,0.4917,0.6937
LLAMA3.2_1B,0.3171,0.322,0.3145,0.46
LLAMA3.2_3B,0.4762,0.3626,0.359,0.5825
MISTRAL_NEMO,0.5262,0.4957,0.5016,0.7131
PHI3.5_MINI,0.4606,0.5123,0.4634,0.6265
PHI3_MEDIUM,0.4013,0.4035,0.3927,0.5674
GEMMA2-2B,0.4184,0.4763,0.4022,0.5363
GEMMA2-9B,0.6862,0.7638,0.7034,0.7136
GEMMA2-27B,0.7624,0.7786,0.7664,0.7883
QWEN2,0.709,0.7347,0.7014,0.7292
QWEN2.5_14B,0.7461,0.7633,0.7533,0.77
