Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6918,0.7045,0.6901,0.72
GEMMA2-2B,0.5468,0.6266,0.4768,0.4906
GEMMA2-9B,0.6857,0.6872,0.6854,0.6998
LLAMA3.1,0.706,0.6894,0.6969,0.7183
LLAMA3.2_1B,0.4292,0.4492,0.434,0.4611
LLAMA3.2_3B,0.5858,0.5489,0.5592,0.6095
LLAMA3,0.6468,0.7084,0.6607,0.6754
MISTRAL_NEMO,0.6847,0.6792,0.6683,0.7053
PHI3.5_MINI,0.5972,0.6751,0.5909,0.6003
PHI3_MEDIUM,0.5356,0.5555,0.5378,0.584
QWEN2.5_14B,0.7218,0.7714,0.7395,0.7448
QWEN2,0.7102,0.7316,0.707,0.7378
