Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7083,0.7355,0.7149,0.7523
GEMMA2-2B,0.6561,0.7162,0.6651,0.6851
GEMMA2-9B,0.7317,0.7695,0.7376,0.7651
LLAMA3.1,0.6757,0.7272,0.6616,0.6744
LLAMA3.2_1B,0.4797,0.5453,0.357,0.3763
LLAMA3.2_3B,0.605,0.6463,0.564,0.5637
LLAMA3,0.6878,0.7298,0.6951,0.6966
MISTRAL_NEMO,0.722,0.7741,0.7378,0.7609
PHI3.5_MINI,0.6363,0.679,0.5959,0.5981
PHI3_MEDIUM,0.6638,0.7067,0.595,0.5928
QWEN2.5_14B,0.758,0.7638,0.7601,0.792
QWEN2,0.7016,0.7215,0.6929,0.7243
