Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6864,0.7213,0.6889,0.7179
GEMMA2-2B,0.5964,0.6741,0.5765,0.5879
GEMMA2-9B,0.7047,0.7539,0.6927,0.7088
LLAMA3.1,0.6318,0.7167,0.6189,0.6271
LLAMA3.2_1B,0.5741,0.4009,0.2642,0.35
LLAMA3.2_3B,0.5735,0.6334,0.5655,0.5849
LLAMA3,0.6211,0.7027,0.5814,0.5911
MISTRAL_NEMO,0.782,0.7678,0.7738,0.7958
PHI3.5_MINI,0.6247,0.6691,0.5995,0.6105
PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008
QWEN2.5_14B,0.7413,0.7996,0.7596,0.7781
QWEN2,0.675,0.7065,0.6721,0.6996
