Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6938,0.7427,0.6951,0.7179
GEMMA2-2B,0.611,0.6883,0.5968,0.6072
GEMMA2-9B,0.7024,0.7542,0.6934,0.7097
LLAMA3.1,0.6369,0.7174,0.6292,0.6407
LLAMA3.2_1B,0.1899,0.4081,0.2528,0.2917
LLAMA3.2_3B,0.5947,0.6599,0.5569,0.5618
LLAMA3,0.6279,0.6909,0.5564,0.5605
MISTRAL_NEMO,0.768,0.7855,0.773,0.7845
PHI3.5_MINI,0.6349,0.675,0.6216,0.6419
PHI3_MEDIUM,0.6461,0.6177,0.6269,0.8008
QWEN2.5_14B,0.7462,0.8047,0.7648,0.784
QWEN2,0.6777,0.7181,0.6773,0.7023
