Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6873,0.7201,0.69,0.7206
GEMMA2-2B,0.5997,0.6782,0.5814,0.5927
GEMMA2-9B,0.7034,0.7523,0.6921,0.7088
LLAMA3.1,0.6044,0.6875,0.5955,0.6024
LLAMA3.2_1B,0.4011,0.4049,0.2617,0.3196
LLAMA3.2_3B,0.5572,0.6175,0.5495,0.5675
LLAMA3,0.6266,0.7062,0.5845,0.5954
MISTRAL_NEMO,0.7686,0.7611,0.7643,0.7877
PHI3.5_MINI,0.6213,0.6655,0.598,0.6095
PHI3_MEDIUM,0.6262,0.5939,0.6046,0.7299
QWEN2.5_14B,0.7422,0.8005,0.7603,0.7792
QWEN2,0.6751,0.7115,0.6745,0.7002
