Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7301,0.7781,0.7432,0.7689
GEMMA2-2B,0.6128,0.6571,0.6139,0.6323
GEMMA2-9B,0.7261,0.7751,0.7279,0.7495
LLAMA3.1,0.6086,0.6713,0.6138,0.6283
LLAMA3.2_1B,0.3677,0.4179,0.3293,0.3392
LLAMA3.2_3B,0.6383,0.6667,0.6476,0.677
LLAMA3,0.6179,0.6804,0.5511,0.5551
MISTRAL_NEMO,0.7238,0.7203,0.7188,0.7368
PHI3.5_MINI,0.6731,0.6915,0.6757,0.7089
PHI3_MEDIUM,0.7485,0.5011,0.5108,0.6667
QWEN2.5_14B,0.7477,0.7966,0.7645,0.784
QWEN2,0.6693,0.7289,0.665,0.6824
