Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7446,0.7895,0.7576,0.784
GEMMA2-2B,0.6787,0.6859,0.681,0.7157
GEMMA2-9B,0.7458,0.783,0.7476,0.7694
LLAMA3.1,0.7321,0.6922,0.6921,0.7308
LLAMA3.2_1B,0.4932,0.5473,0.4032,0.4113
LLAMA3.2_3B,0.6488,0.7084,0.645,0.6604
LLAMA3,0.7128,0.7691,0.7037,0.7122
MISTRAL_NEMO,0.7438,0.7426,0.7418,0.7663
PHI3.5_MINI,0.6515,0.7028,0.6656,0.69
PHI3_MEDIUM,0.6958,0.7684,0.6984,0.7122
QWEN2.5_14B,0.7827,0.7891,0.7833,0.8071
QWEN2,0.7023,0.7171,0.68,0.712
