Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6964,0.7237,0.702,0.7389
GEMMA2-2B,0.6465,0.7035,0.6585,0.6824
GEMMA2-9B,0.7341,0.7682,0.7394,0.7657
LLAMA3.1,0.6715,0.7309,0.6574,0.6679
LLAMA3.2_1B,0.4614,0.549,0.3823,0.3946
LLAMA3.2_3B,0.6085,0.6654,0.5784,0.5798
LLAMA3,0.7102,0.7904,0.711,0.7148
MISTRAL_NEMO,0.7421,0.7751,0.7531,0.7813
PHI3.5_MINI,0.6337,0.677,0.5971,0.6002
PHI3_MEDIUM,0.6682,0.7126,0.6012,0.5988
QWEN2.5_14B,0.7763,0.7895,0.7802,0.8028
QWEN2,0.698,0.7186,0.6894,0.7206
