Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.7465,0.7865,0.7588,0.7856
GEMMA2-2B,0.6804,0.6866,0.682,0.7152
GEMMA2-9B,0.7475,0.786,0.7498,0.7716
LLAMA3.1,0.7472,0.7012,0.7056,0.7448
LLAMA3.2_1B,0.508,0.5638,0.4028,0.4134
LLAMA3.2_3B,0.6537,0.7141,0.6496,0.6647
LLAMA3,0.7045,0.7684,0.702,0.713
MISTRAL_NEMO,0.7538,0.7449,0.7464,0.7738
PHI3.5_MINI,0.6503,0.6993,0.6642,0.6896
PHI3_MEDIUM,0.697,0.7744,0.6971,0.7103
QWEN2.5_14B,0.7807,0.7857,0.7807,0.8049
QWEN2,0.706,0.7203,0.684,0.7147
