Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6946,0.7438,0.6948,0.7168
GEMMA2-2B,0.6068,0.6863,0.593,0.6025
GEMMA2-9B,0.6992,0.7495,0.6913,0.7086
LLAMA3.1,0.5814,0.6498,0.5633,0.5809
LLAMA3.2_1B,0.348,0.3557,0.2475,0.2586
LLAMA3.2_3B,0.5586,0.6191,0.5178,0.521
LLAMA3,0.611,0.6839,0.5519,0.5583
MISTRAL_NEMO,0.6948,0.7324,0.7063,0.7194
PHI3.5_MINI,0.6289,0.6685,0.6151,0.6358
PHI3_MEDIUM,0.5451,0.5337,0.5384,0.6115
QWEN2.5_14B,0.7451,0.803,0.7638,0.7824
QWEN2,0.6792,0.7204,0.677,0.7012
