Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6824,0.7115,0.6803,0.7039
GEMMA2-2B,0.5391,0.6246,0.4242,0.4481
GEMMA2-9B,0.707,0.746,0.7147,0.7329
LLAMA3.1,0.6555,0.741,0.666,0.6738
LLAMA3.2_1B,0.4234,0.4664,0.346,0.3594
LLAMA3.2_3B,0.6124,0.6425,0.6238,0.6454
LLAMA3,0.6311,0.7215,0.6226,0.6287
MISTRAL_NEMO,0.7929,0.759,0.7733,0.7926
PHI3.5_MINI,0.621,0.6732,0.604,0.6128
PHI3_MEDIUM,0.5064,0.6138,0.5543,0.7524
QWEN2.5_14B,0.6851,0.768,0.6987,0.7082
QWEN2,0.6989,0.7357,0.7037,0.7319
