Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6843,0.7159,0.6837,0.7077
GEMMA2-2B,0.547,0.6234,0.4237,0.4481
GEMMA2-9B,0.6972,0.7396,0.706,0.7238
LLAMA3.1,0.6355,0.7191,0.6451,0.6525
LLAMA3.2_1B,0.3975,0.4531,0.3572,0.3624
LLAMA3.2_3B,0.6009,0.63,0.6119,0.6373
LLAMA3,0.6253,0.716,0.6173,0.6228
MISTRAL_NEMO,0.7556,0.739,0.7465,0.768
PHI3.5_MINI,0.6184,0.6661,0.5993,0.6086
PHI3_MEDIUM,0.4805,0.6075,0.5364,0.72
QWEN2.5_14B,0.6835,0.7657,0.6971,0.7071
QWEN2,0.6879,0.7273,0.6946,0.7211
