Model,Precision,Recall,F1-Score,Accuracy
GEMMA2-27B,0.6882,0.6864,0.6845,0.7195
GEMMA2-2B,0.5632,0.5983,0.4778,0.489
GEMMA2-9B,0.7104,0.6789,0.6903,0.7071
LLAMA3.1,0.7167,0.7124,0.713,0.727
LLAMA3.2_1B,0.4094,0.3457,0.3189,0.4997
LLAMA3.2_3B,0.5721,0.5252,0.5321,0.5973
LLAMA3,0.6539,0.7102,0.6713,0.683
MISTRAL_NEMO,0.738,0.6834,0.6958,0.7421
PHI3.5_MINI,0.5783,0.6612,0.5656,0.5726
PHI3_MEDIUM,0.5875,0.6015,0.5882,0.6422
QWEN2.5_14B,0.7217,0.7679,0.7394,0.7507
QWEN2,0.7249,0.7387,0.7216,0.7534
