unique_id,citation_context,citation_class_label,predicted_classes
e4d2591ac3bb65e2ec59f092884a7b15b8018592>f0fb468a54fe8021bc7986a1618222c4fcd16df4_6,"Activated PBMC are the basis of the standard PBMC blast assay for HIV-1 neutralization, whereas the various GHOST and HeLa cell lines have all been used in neutralization assays @@CITATION@@.",background information,method
8cb19a542da5f3f5a5250a6cd542478480994e55>435ccda1ceb8d3b95e3dc3a745d963fc09847a54_0,"…the previous response, and as such, may be similar to the hippocampal “delay cells” described previously in both rats (Otto and Eichenbaum, 1992b; Hampson et al., 1993) and primates (Watanabe and Niki, 1985; Miyashita, 1988@@CITATION@@88; Riches et al., 1991; Colombo and Gross, 1994).",results comparison,background information
8e8e19bf6e9d7bcf921e91f369a140da2e86bfa3>None_0,"Therefore, we can compare our findings only with the data obtained by @@CITATION@@ who obtained them in a way similar to the present study.",results comparison,results comparison
891bcbe15cb6e49c2d95d9de5af618771aa2ea12>facd81eed1e7851736b2213402e1cd523135cb83_1,"…as an ocs element (Bouchez et al. 1989; Lam et al. 1989), which was first characterized in the promoter of the Agrobacterium ocs gene and subsequently found to regulate the expression of a number of other plant genes (Chen and Singh 1999; @@CITATION@@; Foley et al. 2006; Ulmasov et al. 1994).",background information,background information
1a8e2dac8bf06a7a2db9b9928b442921efa69061>533fdd3ebedaa0fdee7760ecbe828c9c4e11af08_4,"This was expected, as the literature has shown that ethylene has an inhibitory effect on some forms of growth, such as internode elongation (e.g. @@CITATION@@) and hypocotyl elongation (e.g. Pierik et al., 2006).",results comparison,background information
769a6d671e10526778c9cd5ddfb2fed87a44fe84>da62d4186fb8cdf691f8ff7d49b4e4b5e95f8210_0,"Then, for each DCT band, the parity bit stream is structured into sub-blocks of size MN 16P bits (one for each convolutional encoder) @@CITATION@@, where M × N is the spatial resolution of the frames and 16 is the number of pixels per block.",method,method
e2b2d980eca45afade166f1319e17816b6b77431>dfd16c90cae7741d0eb7642b968690b59d3e24dc_0,This pattern of response is consistent with previous results reported in the literature (@@CITATION@@; MacPhail et al. 2009; Padilla et al. 2011).,results comparison,background information
812e50bdbc19a822b0619ea835bed77415782d4b>5f19115ea3ee17d6d2a9288412fc6165932cea91_0,"…Ranomafana National Park in 1992–1993 and Vohibola III in 2003–2005, research on temporal and geographic variations in fruit availability led us to question the unimodal relationship to activity patterns of Cheirogaleus major (Ganzhorn et al., 1999; Hemingway, 1998@@CITATION@@02; Overdorff, 1991).",background information,background information
76bba77c91adaf8263454fe033ff4eecaf819004>4c8c01ba710b2905d4b570f82de49f8b673d3629_0,"In this study, blood glucose concentration was evaluated because hyperglycaemia has been shown to result in mitochondrial dysfunction @@CITATION@@ and is a common feature in humans exposed to excess glucocorticoid hormones.",background information,background information
9889e6509ccfd7cb166b258c2487485fd0c4b145>fb70d25d466c3da340689424d944e8d278a3469f_5,"However, in these studies @@CITATION@@, patients generally had long-standing disease and were presumably receiving disease-modifying antirheumatic drugs (DMARDs), factors which may affect infection with PD pathogens and serum antibody responses.",background information,background information
ed097a708b9fea355ce7ff8249e9a120ba55795a>689826f096e33d8ad004ff7602c5ad414082f403_0,"Methods such as SBDS @@CITATION@@ avoid this problem but adding constraints to a model does not, so measuring the search effort to find a solution would not be a meaningful way of evaluating the new encoding.",method,method
f5a8e7aca6bc5c40f960f181bbc91a4655af85ea>7e46b87bde7bbc01bccef88ce45b7dc3a761b173_1,"This suggestion is consistent with the current eye gaze literature, which indicates that human infants orient toward and increase their looking times at conspecific eyes that are directed toward them [@@CITATION@@].",results comparison,background information
233976cd2a9382286152a6ed45b70afe5810469e>5250431a76691c3c719391c8588eef9934e1457e_2,"In vitro studies have showed that Cd suppressed the viability of P. monodon haemocytes (@@CITATION@@; Xian et al. 2013), which could preliminarily explain the loss of haemocytes caused by environmental Cd. Oxidative stress is known to be a common toxic mechanism of heavy metals on organisms…",background information,background information
1db769fa5e0618fe96e65c032666a72b7eef29f3>87aae8e283b9e8b69417bdcd5f5af7732b1b9a28_17,"In diabetes mellitus, the choice of drugs or dosages is influenced by @@CITATION@@[57] Finally, we searched for articles about 8) other chronic diseases in which reduced muscle mass (mainly due to immobility and malnutrition) can be present, which may render the MDRD formula less valid.",method,background information
6b02b2f78bb043ca5705df6d3651a149d6f7d3ed>1c91621232315fc8e3d58129a6bd4334983912b4_0,"For both analyses, we first employ a Monte Carlo sampling technique for modeling the data @@CITATION@@.",method,background information
0ed4b4d6d1a0c49c4eb619aab36db559b620d99f>05270b68547a2cd5bda302779cfc5dda876ae538_0,"Similar to [15], we also applied four popular subspace learning methods including PCA, LDA, @@CITATION@@ and ONPP for appearance-based facial expression recognition with spatial misalignments.",method,method
